2026-04-02 15:59:19,136 | doc_id=145 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:59:20,931 | doc_id=146 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:59:22,912 | doc_id=147 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 15:59:24,076 | doc_id=148 | status=502 | {"error":"Voyage AI error: {\"detail\":\"You have not yet added your payment method in the billing page and will have reduced rate limits of 3 RPM and 10K TPM. To unlock our standard rate limits, plea
2026-04-02 16:00:13,904 | doc_id=168 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:00:25,416 | doc_id=172 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:00:55,054 | doc_id=185 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:01:44,865 | doc_id=205 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:02:45,218 | doc_id=227 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:02:45,795 | doc_id=228 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:02:51,482 | doc_id=230 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:03:04,711 | doc_id=235 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:03:38,308 | doc_id=249 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:04:38,682 | doc_id=272 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:04:50,020 | doc_id=276 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:04:56,872 | doc_id=279 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:04:58,773 | doc_id=280 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:05:33,232 | doc_id=293 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:05:36,746 | doc_id=296 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:05:37,257 | doc_id=297 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:06:10,109 | doc_id=317 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:06:14,405 | doc_id=319 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:15,847 | doc_id=320 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:17,771 | doc_id=321 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:21,555 | doc_id=322 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:23,655 | doc_id=323 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:25,491 | doc_id=324 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:27,267 | doc_id=325 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:29,563 | doc_id=326 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:34,554 | doc_id=327 | status=422 | {"error":"PDF sem texto extraível"}
2026-04-02 16:06:36,471 | doc_id=328 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:38,389 | doc_id=329 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:40,776 | doc_id=330 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:42,836 | doc_id=331 | status=500 | {"error":"Invalid PDF structure"}
2026-04-02 16:06:46,561 | doc_id=332 | status=500 | {"error":"Invalid PDF structure"}
